t	x	y	z
1352614472104	3.7864566	0.19068487	-8.989429
1352614472176	3.718355	0.19068487	-8.962189
1352614472177	3.7728362	0.14982383	-8.771504
1352614472177	3.6911142	0.13620348	-8.717023
1352614472177	3.568531	0.095342435	-8.948568
1352614472197	3.4187074	0.12258313	-9.112013
1352614472217	3.5140498	0.12258313	-9.057531
1352614472237	3.6774938	0.095342435	-9.152874
1352614472257	3.9362805	0.095342435	-9.643207
1352614472278	4.1269655	-0.095342435	-10.732834
1352614472298	4.4129925	-0.08172209	-12.217452
1352614472318	4.5491962	-0.027240695	-13.293459
1352614472338	4.6445384	-0.12258313	-14.042579
1352614472359	4.8352237	-0.32688835	-14.383087
1352614472379	4.944186	-0.53119355	-14.601013
1352614472399	5.1893525	-0.667397	-14.955142
1352614472420	5.298315	-0.8036005	-15.023244
1352614472441	5.3527966	-0.92618364	-14.927901
1352614472460	4.8216033	-1.1849703	-14.669114
1352614472481	3.9635212	-0.9942854	-13.416042
1352614472503	3.3506055	-0.54481393	-12.13573
1352614472523	3.1463003	0.10896278	-11.223166
1352614472543	3.091819	0.9670447	-10.433187
1352614472564	2.6014864	1.5118586	-8.635301
1352614472584	1.8659877	2.1111538	-7.246025
1352614472604	1.2394516	2.7649305	-5.761407
1352614472624	0.47671217	3.3506055	-4.140586
1352614472644	-0.6401563	3.800077	-2.9964764
1352614472664	-1.3484144	4.2223077	-1.96133
1352614472687	-1.525479	4.426613	-0.6810174
1352614472705	-2.383561	4.344891	1.0215261
1352614472725	-3.8681788	4.535576	2.5606253
1352614472745	-5.829509	4.4129925	3.759216
1352614472765	-6.5922484	4.6172976	4.263169
1352614472785	-6.2517395	4.930566	4.372132
1352614472806	-6.2108784	4.9986677	4.7126403
1352614472826	-7.668256	5.134871	4.8897047
1352614472846	-8.308413	5.1893525	5.039529
1352614472887	-7.2187843	5.9248514	4.8488436
1352614472887	-6.769313	6.347082	4.8897047
1352614472905	-6.864655	6.4151835	5.053149
1352614472925	-7.600154	6.183638	5.2574544
1352614472946	-8.281172	6.006573	5.1212506
1352614472966	-7.9679036	6.115536	4.971427
1352614472988	-7.205164	6.2244987	5.0259085
1352614473081	-6.537767	6.238119	4.2223077
1352614473081	-6.2789803	6.115536	3.3097446
1352614473082	-6.1563973	6.074675	2.0430522
1352614473103	-5.843129	6.006573	0.6810174
1352614473111	-5.3119354	5.9248514	-0.38136974
1352614473131	-5.2165933	5.706926	-0.9942854
1352614473151	-5.570722	5.2165933	-1.1304889
1352614473171	-5.47538	4.7943625	-1.334794
1352614473191	-3.6911142	4.903325	-2.669588
1352614473211	-2.2064962	4.7943625	-3.3097446
1352614473232	-2.5197644	4.4538536	-4.1269655
1352614473252	-3.214402	3.800077	-4.0452433
1352614473272	-3.0100968	3.214402	-4.235928
1352614473292	-1.5799603	3.214402	-6.1563973
1352614473312	-0.47671217	3.3233647	-7.8180795
1352614473335	-0.7627395	3.0781987	-8.648921
1352614473354	-1.5390993	2.4380422	-8.22669
1352614473375	-0.9942854	2.1111538	-8.19945
1352614473395	0.7627395	2.2201166	-8.825985
1352614473415	2.002191	2.3290794	-10.092678
1352614473435	1.8523673	1.9340894	-10.56939
1352614473456	1.9749504	1.3075534	-10.773695
1352614473476	2.4789033	1.1168685	-11.645397
1352614473496	2.9964764	0.8308412	-12.367276
1352614473516	3.3642259	0.6946377	-12.871228
1352614473536	3.0100968	0.3405087	-12.571581
1352614473557	2.7785509	0.16344418	-11.509193
1352614473577	3.336985	-0.08172209	-10.55577
1352614473597	3.5140498	-0.40861043	-11.086963
1352614473617	3.3506055	-0.6401563	-12.14935
1352614473637	2.8602731	-0.667397	-12.53072
1352614473663	3.091819	-0.6810174	-11.781601
1352614473682	3.5412905	-0.9942854	-11.35937
1352614473698	3.6911142	-1.0623871	-12.122109
1352614473718	4.004382	-0.95342433	-13.470524
1352614473738	4.031623	-0.8580819	-14.056199
1352614473758	4.195067	-0.81722087	-13.456903
1352614473778	4.167826	-0.8580819	-12.639683
1352614473798	3.92266	-1.0623871	-12.094869
1352614473821	3.8681788	-0.89894295	-12.258313
1352614473856	3.6911142	-0.7763598	-12.830367
1352614473859	3.7047346	-0.626536	-12.884849
1352614473880	3.6774938	-0.54481393	-12.408136
1352614473900	3.336985	-0.5720546	-11.849703
1352614473920	2.9556155	-0.5992953	-11.35937
1352614473941	2.5742457	-0.35412905	-10.978001
1352614473960	2.5606253	-0.040861044	-10.991621
1352614473981	2.73769	0.29964766	-10.909899
1352614474001	2.6287272	0.5992953	-10.855417
1352614474021	2.3018389	0.95342433	-10.528529
1352614474042	1.96133	1.2394516	-9.765789
1352614474064	1.7297841	1.6344417	-9.343558
1352614474082	1.3892754	1.96133	-8.975809
1352614474102	0.89894295	2.2882185	-9.493382
1352614474123	0.8036005	2.7649305	-9.193735
1352614474143	0.38136974	3.0100968	-8.839605
1352614474163	0.095342435	3.3778462	-8.349273
1352614474183	-0.25878662	3.6774938	-7.572913
1352614474207	-0.9670447	3.92266	-7.1506824
1352614474224	-1.4437568	4.113345	-6.5241466
1352614474246	-1.96133	4.385752	-5.829509
1352614474264	-2.1656353	4.862464	-4.971427
1352614474286	-2.315459	5.202973	-4.113345
1352614474304	-2.8602731	5.5843425	-3.1871614
1352614474325	-3.0781987	5.965712	-1.96133
1352614474345	-3.214402	6.374323	-0.50395286
1352614474365	-3.759216	6.578628	0.10896278
1352614474385	-4.4538536	6.67397	0.20430522
1352614474406	-4.9986677	6.7556925	-0.095342435
1352614474427	-5.638824	7.1506824	-0.13620348
1352614474447	-6.0201936	7.1506824	0.51757324
1352614474482	-5.298315	7.559293	1.6753027
1352614474487	-5.284695	7.7363577	2.2609777
